RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
1,2,Daniel Summerhays,101,1.65,30,"1,818",2015,426
2,3,Jason Bohn,95,1.70,29,"1,710",2015,426
3,4,Billy Hurley III,83,1.76,25,"1,422",2015,426
4,6,Brian Stuard,97,1.79,30,"1,674",2015,426
T5,7,Colt Knost,90,1.87,29,"1,548",2015,426
T5,5,Kevin Kisner,104,1.87,35,"1,872",2015,426
7,8,Ricky Barnes,82,1.92,27,"1,404",2015,426
8,T9,Zach Johnson,90,1.98,31,"1,566",2015,426
9,T9,Charles Howell III,105,2.01,38,"1,890",2015,426
10,12,Bryce Molder,91,2.04,32,"1,566",2015,426
11,13,David Hearn,97,2.06,36,"1,746",2015,426
12,T16,Dustin Johnson,75,2.08,27,"1,296",2015,426
13,14,Jonas Blixt,78,2.10,28,"1,332",2015,426
14,15,Chad Collins,79,2.11,30,"1,422",2015,426
15,T16,Eric Axley,57,2.12,21,990,2015,426
16,19,Morgan Hoffmann,85,2.16,33,"1,530",2015,426
17,11,Patrick Reed,103,2.17,39,"1,800",2015,426
T18,T20,David Toms,62,2.20,23,"1,044",2015,426
T18,T20,Kevin Streelman,95,2.20,36,"1,638",2015,426
T20,22,Jeff Overton,94,2.23,37,"1,656",2015,426
T20,31,Harris English,105,2.23,41,"1,836",2015,426
22,23,Aaron Baddeley,76,2.25,30,"1,332",2015,426
T23,T24,Sean O'Hair,86,2.26,35,"1,548",2015,426
T23,T24,Tyrone Van Aswegen,58,2.26,22,972,2015,426
25,26,Tim Wilkinson,73,2.27,29,"1,278",2015,426
T26,T27,Sergio Garcia,59,2.28,23,"1,008",2015,426
T26,T27,Justin Leonard,61,2.28,25,"1,098",2015,426
28,29,Scott Langley,94,2.29,38,"1,656",2015,426
29,30,Patrick Rodgers,57,2.31,22,954,2015,426
30,32,Whee Kim,71,2.33,29,"1,242",2015,426
T31,T33,Zac Blair,108,2.35,44,"1,872",2015,426
T31,T33,Luke Donald,71,2.35,30,"1,278",2015,426
33,35,Brendon de Jonge,106,2.36,45,"1,908",2015,426
T34,T36,Derek Fathauer,81,2.38,33,"1,386",2015,426
T34,T36,Troy Merritt,91,2.38,39,"1,638",2015,426
36,T50,Jason Day,75,2.39,31,"1,296",2015,426
37,T41,Jordan Spieth,91,2.40,38,"1,584",2015,426
T38,T38,Francesco Molinari,56,2.41,23,954,2015,426
T38,T38,Steven Alker,62,2.41,26,"1,080",2015,426
40,40,Ryan Moore,81,2.42,34,"1,404",2015,426
T41,T41,John Peterson,84,2.45,37,"1,512",2015,426
T41,T41,Andres Gonzales,90,2.45,38,"1,548",2015,426
T43,T44,Chad Campbell,97,2.46,43,"1,746",2015,426
T43,T44,Hudson Swafford,97,2.46,42,"1,710",2015,426
T45,T47,Robert Streb,110,2.47,49,"1,980",2015,426
T45,T50,Rickie Fowler,76,2.47,32,"1,296",2015,426
47,46,Shawn Stefani,94,2.48,42,"1,692",2015,426
T48,T47,Matt Jones,89,2.52,39,"1,548",2015,426
T48,T47,Spencer Levin,99,2.52,44,"1,746",2015,426
T50,T50,Brian Harman,90,2.53,41,"1,620",2015,426
T50,T50,J.J. Henry,94,2.53,41,"1,620",2015,426
52,54,Marc Leishman,74,2.54,32,"1,260",2015,426
53,55,Pat Perez,96,2.55,44,"1,728",2015,426
54,56,Graham DeLaet,65,2.56,30,"1,170",2015,426
T55,T57,Erik Compton,86,2.58,40,"1,548",2015,426
T55,T57,Russell Henley,87,2.58,39,"1,512",2015,426
57,59,David Lingmerth,90,2.59,42,"1,620",2015,426
58,60,K.J. Choi,66,2.60,29,"1,116",2015,426
T59,T61,Cameron Percy,72,2.62,33,"1,260",2015,426
T59,T61,Tony Finau,106,2.62,50,"1,908",2015,426
T61,T68,Kevin Na,98,2.63,45,"1,710",2015,426
T61,63,Nick Taylor,91,2.63,43,"1,638",2015,426
63,64,William McGirt,103,2.64,49,"1,854",2015,426
64,65,Hunter Mahan,88,2.65,40,"1,512",2015,426
T65,T75,Matt Kuchar,97,2.66,45,"1,692",2015,426
T65,T75,Charley Hoffman,97,2.66,45,"1,692",2015,426
T65,66,Russell Knox,96,2.66,46,"1,728",2015,426
68,67,Roberto Castro,54,2.67,24,900,2015,426
T69,T68,Adam Hadwin,95,2.69,45,"1,674",2015,426
T69,T68,Brendon Todd,96,2.69,45,"1,674",2015,426
T69,T68,Brandt Snedeker,98,2.69,46,"1,710",2015,426
T72,T72,Johnson Wagner,68,2.70,33,"1,224",2015,426
T72,82,Steven Bowditch,103,2.70,50,"1,854",2015,426
T72,T72,John Huh,102,2.70,49,"1,818",2015,426
75,74,Alex Prugh,84,2.71,39,"1,440",2015,426
T76,T75,James Hahn,94,2.72,46,"1,692",2015,426
T76,T75,Alex Cejka,94,2.72,45,"1,656",2015,426
78,T84,Danny Lee,120,2.73,59,"2,160",2015,426
79,79,Jerry Kelly,79,2.74,39,"1,422",2015,426
80,80,George McNeill,93,2.75,46,"1,674",2015,426
