RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL),Year,Stat ID
81,81,Carlos Ortiz,100,2.78,48,"1,728",2015,426
82,83,Chris Kirk,76,2.82,37,"1,314",2015,426
T83,T84,Carl Pettersson,106,2.83,54,"1,908",2015,426
T83,T84,Davis Love III,51,2.83,26,918,2015,426
85,87,Jason Kokrak,88,2.84,45,"1,584",2015,426
86,88,Scott Brown,97,2.86,50,"1,746",2015,426
T87,T89,Oscar Fraustro,58,2.88,28,972,2015,426
T87,T89,Jon Curran,83,2.88,41,"1,422",2015,426
T89,T91,Andrew Putnam,68,2.95,34,"1,152",2015,426
T89,T91,Jim Furyk,71,2.95,34,"1,152",2015,426
T91,T93,Greg Chalmers,58,2.98,29,972,2015,426
T91,T93,Brendan Steele,88,2.98,45,"1,512",2015,426
93,96,Justin Thomas,106,2.99,57,"1,908",2015,426
94,97,Steve Wheatcroft,87,3.01,45,"1,494",2015,426
95,T115,Brooks Koepka,84,3.02,44,"1,458",2015,426
T96,T98,Ryo Ishikawa,90,3.03,48,"1,584",2015,426
T96,T98,Ryan Palmer,80,3.03,42,"1,386",2015,426
98,T93,Jimmy Walker,89,3.04,47,"1,548",2015,426
99,T100,Sangmoon Bae,98,3.06,54,"1,764",2015,426
100,T100,Jamie Donaldson,50,3.07,26,846,2015,426
101,102,Scott Pinckney,88,3.09,49,"1,584",2015,426
T102,T103,Roger Sloan,56,3.10,29,936,2015,426
T102,T103,Jonathan Randolph,72,3.10,39,"1,260",2015,426
T104,106,Andres Romero,69,3.11,37,"1,188",2015,426
T104,T108,Justin Rose,69,3.11,37,"1,188",2015,426
T104,T118,Hideki Matsuyama,95,3.11,51,"1,638",2015,426
107,107,Luke Guthrie,84,3.12,46,"1,476",2015,426
108,T108,Mark Wilson,89,3.14,48,"1,530",2015,426
109,110,Fabián Gómez,83,3.15,47,"1,494",2015,426
T110,T111,Brice Garnett,81,3.16,45,"1,422",2015,426
T110,T111,Jonathan Byrd,69,3.16,37,"1,170",2015,426
T110,T111,Ian Poulter,68,3.16,37,"1,170",2015,426
T110,T111,Tom Hoge,83,3.16,45,"1,422",2015,426
T114,T115,Gonzalo Fernandez-Castaño,81,3.17,44,"1,386",2015,426
T114,T123,Bill Haas,89,3.17,49,"1,548",2015,426
T116,132,Paul Casey,87,3.18,47,"1,476",2015,426
T116,117,Brian Davis,86,3.18,47,"1,476",2015,426
118,T118,Will Wilcox,58,3.19,31,972,2015,426
119,120,Jim Herman,88,3.22,51,"1,584",2015,426
T120,T121,Jhonattan Vegas,90,3.23,50,"1,548",2015,426
T120,T121,Max Homa,78,3.23,43,"1,332",2015,426
T122,T123,Mark Hubbard,79,3.25,45,"1,386",2015,426
T122,T123,Seung-Yul Noh,65,3.25,38,"1,170",2015,426
T122,T123,Ángel Cabrera,53,3.25,31,954,2015,426
125,127,Ben Crane,62,3.26,34,"1,044",2015,426
T126,T103,Scott Piercy,90,3.27,53,"1,620",2015,426
T126,128,Chez Reavie,56,3.27,33,"1,008",2015,426
T128,T129,Martin Laird,77,3.32,46,"1,386",2015,426
T128,T129,Kyle Reifers,96,3.32,55,"1,656",2015,426
130,131,Phil Mickelson,70,3.33,42,"1,260",2015,426
131,153,Bubba Watson,71,3.35,41,"1,224",2015,426
132,133,Martin Flores,95,3.36,55,"1,638",2015,426
133,134,Chris Stroud,84,3.37,51,"1,512",2015,426
134,136,Retief Goosen,81,3.39,47,"1,386",2015,426
T135,137,Ben Martin,93,3.40,55,"1,620",2015,426
T135,T154,J.B. Holmes,89,3.40,52,"1,530",2015,426
T137,T138,Matt Every,73,3.41,43,"1,260",2015,426
T137,T138,John Senden,80,3.41,46,"1,350",2015,426
139,141,Kevin Chappell,86,3.42,53,"1,548",2015,426
T140,T142,Michael Thompson,83,3.43,50,"1,458",2015,426
T140,T142,Sam Saunders,83,3.43,50,"1,458",2015,426
142,144,Louis Oosthuizen,68,3.44,39,"1,134",2015,426
T143,T145,Boo Weekley,79,3.45,49,"1,422",2015,426
T143,T145,Gary Woodland,81,3.45,46,"1,332",2015,426
145,147,Sung Joon Park,79,3.46,48,"1,386",2015,426
146,148,Chesson Hadley,101,3.47,63,"1,818",2015,426
T147,156,Daniel Berger,97,3.49,61,"1,746",2015,426
T147,149,Vijay Singh,78,3.49,49,"1,404",2015,426
149,150,Scott Stallings,60,3.52,38,"1,080",2015,426
T150,T151,Jim Renner,68,3.54,42,"1,188",2015,426
T150,T151,Byron Smith,59,3.54,35,990,2015,426
152,T154,Rory Sabbatini,81,3.57,52,"1,458",2015,426
T153,T157,Billy Horschel,99,3.59,62,"1,728",2015,426
T153,T157,Cameron Tringale,96,3.59,62,"1,728",2015,426
T155,T159,Nick Watney,91,3.60,59,"1,638",2015,426
T155,T159,Blayne Barber,76,3.60,48,"1,332",2015,426
157,161,Greg Owen,58,3.64,38,"1,044",2015,426
158,162,Michael Putnam,87,3.66,56,"1,530",2015,426
T159,T163,Andrew Svoboda,80,3.70,52,"1,404",2015,426
T159,T163,Padraig Harrington,60,3.70,40,"1,080",2015,426
T159,T163,Jason Gore,76,3.70,48,"1,296",2015,426
162,166,Heath Slocum,57,3.77,36,954,2015,426
T163,T167,Ken Duke,93,3.81,61,"1,602",2015,426
T163,T167,Nicholas Thompson,90,3.81,59,"1,548",2015,426
165,169,Bill Lunde,50,3.86,32,828,2015,426
166,T170,Bo Van Pelt,81,3.87,55,"1,422",2015,426
167,T170,Henrik Stenson,63,3.89,42,"1,080",2015,426
168,172,Keegan Bradley,87,3.90,59,"1,512",2015,426
169,173,Robert Allenby,63,3.95,42,"1,062",2015,426
170,174,D.A. Points,72,4.05,51,"1,260",2015,426
T171,T175,Lee Westwood,56,4.06,38,936,2015,426
T171,T175,Webb Simpson,81,4.06,57,"1,404",2015,426
T171,T175,Charl Schwartzel,67,4.06,46,"1,134",2015,426
174,178,Ernie Els,57,4.09,42,"1,026",2015,426
175,179,Robert Garrigus,70,4.12,49,"1,188",2015,426
176,180,John Merrick,78,4.13,55,"1,332",2015,426
177,181,Derek Ernst,75,4.15,53,"1,278",2015,426
178,182,Stewart Cink,77,4.18,58,"1,386",2015,426
179,183,Camilo Villegas,83,4.35,65,"1,494",2015,426
180,184,Jason Dufner,76,4.41,58,"1,314",2015,426
181,187,Charlie Beljan,76,4.71,61,"1,296",2015,426
182,188,Geoff Ogilvy,50,4.75,41,864,2015,426
183,189,Adam Scott,51,4.86,42,864,2015,426
184,190,Lucas Glover,79,5.49,78,"1,422",2015,426
