RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,Year,Stat ID
1,2,Aaron Baddeley,84,.595,41.618,70,2018,02569
2,3,Patrick Reed,94,.545,34.343,63,2018,02569
3,4,Jamie Lovemark,92,.519,40.476,78,2018,02569
4,5,Alex Cejka,77,.495,29.700,60,2018,02569
5,1,Jason Day,75,.479,23.488,49,2018,02569
6,6,Justin Rose,70,.450,23.868,53,2018,02569
7,7,Zach Johnson,94,.425,30.634,72,2018,02569
8,8,Louis Oosthuizen,62,.408,18.779,46,2018,02569
9,9,Wesley Bryan,69,.407,20.759,51,2018,02569
10,11,Zac Blair,64,.394,18.112,46,2018,02569
11,12,Tiger Woods,68,.385,22.732,59,2018,02569
12,10,Kevin Na,91,.373,26.100,70,2018,02569
13,13,Webb Simpson,95,.370,30.006,81,2018,02569
14,14,Bill Haas,76,.368,24.268,66,2018,02569
15,15,Luke List,98,.349,27.204,78,2018,02569
16,17,Jonathan Byrd,70,.339,16.250,48,2018,02569
17,18,Francesco Molinari,73,.327,18.614,57,2018,02569
18,16,Rory McIlroy,64,.322,16.420,51,2018,02569
19,19,Brandt Snedeker,84,.318,23.537,74,2018,02569
20,21,Justin Thomas,91,.311,21.127,68,2018,02569
21,23,Tommy Fleetwood,73,.296,15.982,54,2018,02569
22,20,Marc Leishman,93,.292,21.350,73,2018,02569
23,22,Si Woo Kim,108,.291,22.694,78,2018,02569
24,24,Ryan Moore,78,.273,18.042,66,2018,02569
25,25,Adam Hadwin,92,.267,17.622,66,2018,02569
26,T27,Ricky Barnes,65,.257,11.566,45,2018,02569
27,29,Peter Malnati,87,.255,19.125,75,2018,02569
28,30,Brian Gay,103,.253,23.286,92,2018,02569
29,31,Tyrrell Hatton,58,.252,10.591,42,2018,02569
30,32,Ollie Schniederjans,91,.250,19.217,77,2018,02569
31,T27,Rickie Fowler,74,.242,14.783,61,2018,02569
32,34,Bud Cauley,55,.239,9.786,41,2018,02569
33,33,Dustin Johnson,77,.238,14.785,62,2018,02569
34,35,Jim Furyk,50,.235,10.811,46,2018,02569
35,36,Rory Sabbatini,91,.234,17.547,75,2018,02569
36,37,Johnson Wagner,75,.226,12.456,55,2018,02569
37,26,Tony Finau,105,.222,17.967,81,2018,02569
38,42,Cameron Smith,85,.218,13.307,61,2018,02569
39,38,Matt Kuchar,88,.211,13.726,65,2018,02569
40,39,Cameron Percy,56,.210,8.616,41,2018,02569
