RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
1,1,Paul Casey,94,.939,66.667,71,2017,02568
2,2,Jordan Spieth,85,.896,60.927,68,2017,02568
3,3,Francesco Molinari,75,.842,49.651,59,2017,02568
4,4,Stewart Cink,93,.793,64.273,81,2017,02568
5,5,Hideki Matsuyama,83,.758,44.750,59,2017,02568
6,6,Justin Thomas,86,.738,47.961,65,2017,02568
7,7,Dustin Johnson,77,.670,39.545,59,2017,02568
8,8,Kevin Na,86,.631,41.647,66,2017,02568
9,12,Bud Cauley,92,.588,48.211,82,2017,02568
10,13,Nick Watney,75,.585,37.452,64,2017,02568
11,14,Ian Poulter,72,.573,31.492,55,2017,02568
12,11,Gary Woodland,94,.571,38.816,68,2017,02568
13,9,Daniel Berger,91,.570,39.303,69,2017,02568
14,10,Kyle Stanley,104,.562,52.849,94,2017,02568
15,15,Ryan Palmer,61,.555,27.212,49,2017,02568
16,16,Phil Mickelson,85,.553,38.124,69,2017,02568
17,18,Adam Scott,58,.536,22.521,42,2017,02568
18,17,Jason Dufner,89,.519,37.370,72,2017,02568
19,20,Jimmy Walker,68,.518,25.910,50,2017,02568
20,26,Jon Rahm,90,.515,33.998,66,2017,02568
21,21,Chad Campbell,97,.506,43.019,85,2017,02568
T22,T22,Brandt Snedeker,53,.503,21.136,42,2017,02568
T22,T29,Webb Simpson,102,.503,42.284,84,2017,02568
24,24,Ryan Moore,82,.498,32.347,65,2017,02568
25,25,Jim Furyk,54,.492,21.629,44,2017,02568
26,27,Robert Garrigus,78,.477,28.647,60,2017,02568
27,28,Patrick Cantlay,52,.467,21.471,46,2017,02568
28,T29,Luke List,102,.443,38.083,86,2017,02568
29,31,Billy Hurley III,80,.432,29.839,69,2017,02568
30,32,Graham DeLaet,82,.427,30.345,71,2017,02568
31,33,Boo Weekley,75,.425,25.951,61,2017,02568
T32,T34,D.A. Points,68,.421,24.401,58,2017,02568
T32,T34,Wesley Bryan,95,.421,32.411,77,2017,02568
34,T36,Brendan Steele,89,.411,29.181,71,2017,02568
35,T22,Marc Leishman,94,.410,29.915,73,2017,02568
36,19,Rickie Fowler,78,.408,25.686,63,2017,02568
T37,T40,Charl Schwartzel,63,.399,19.155,48,2017,02568
T37,T40,Bill Haas,92,.399,28.748,72,2017,02568
39,39,Tony Finau,106,.390,35.455,91,2017,02568
40,T49,Sergio Garcia,65,.378,17.385,46,2017,02568
T41,T42,Chez Reavie,98,.375,31.152,83,2017,02568
T41,T42,Scott Stallings,81,.375,25.469,68,2017,02568
43,44,Byeong Hun An,77,.369,21.059,57,2017,02568
44,55,Justin Rose,66,.363,19.219,53,2017,02568
45,T36,Charley Hoffman,112,.349,32.411,93,2017,02568
46,45,Kevin Kisner,105,.334,25.725,77,2017,02568
47,46,Harold Varner III,101,.330,28.418,86,2017,02568
48,47,Rory McIlroy,51,.322,11.596,36,2017,02568
49,48,Scott Piercy,70,.311,15.219,49,2017,02568
50,T49,Ollie Schniederjans,92,.309,25.006,81,2017,02568
51,52,Danny Lee,93,.304,23.083,76,2017,02568
52,53,Lucas Glover,93,.301,25.903,86,2017,02568
53,54,Ben Martin,86,.297,20.770,70,2017,02568
54,38,Kevin Chappell,95,.294,21.165,72,2017,02568
55,56,Patton Kizzire,84,.290,20.882,72,2017,02568
56,58,Emiliano Grillo,90,.281,18.529,66,2017,02568
57,60,Cameron Percy,71,.266,14.618,55,2017,02568
58,61,Aaron Baddeley,61,.256,11.783,46,2017,02568
59,57,Matt Kuchar,95,.253,19.489,77,2017,02568
60,62,Sung Kang,104,.251,20.620,82,2017,02568
61,65,Ricky Barnes,100,.238,18.294,77,2017,02568
T62,T66,Brad Fritsch,56,.235,9.874,42,2017,02568
T62,T66,Tom Hoge,54,.235,9.165,39,2017,02568
64,68,Shane Lowry,52,.231,8.764,38,2017,02568
65,69,Charles Howell III,86,.223,15.142,68,2017,02568
66,51,Pat Perez,93,.222,16.230,73,2017,02568
67,70,Louis Oosthuizen,69,.215,10.973,51,2017,02568
T68,T71,Seamus Power,86,.202,13.758,68,2017,02568
T68,T71,Hudson Swafford,94,.202,15.327,76,2017,02568
70,73,Kevin Streelman,90,.197,15.358,78,2017,02568
71,81,Russell Henley,99,.196,16.868,86,2017,02568
T72,74,Jamie Lovemark,98,.183,14.656,80,2017,02568
T72,64,Adam Hadwin,98,.183,14.454,79,2017,02568
74,75,Russell Knox,75,.181,9.796,54,2017,02568
T75,T76,Chris Stroud,67,.173,8.302,48,2017,02568
T75,T76,Branden Grace,70,.173,8.146,47,2017,02568
77,63,Jhonattan Vegas,95,.172,12.191,71,2017,02568
78,78,Brian Stuard,93,.171,11.782,69,2017,02568
79,79,Kelly Kraft,75,.159,10.354,65,2017,02568
80,80,Michael Kim,94,.158,13.252,84,2017,02568
81,82,Cameron Smith,86,.149,10.589,71,2017,02568
82,83,Rory Sabbatini,71,.146,7.743,53,2017,02568
83,84,Jim Herman,77,.143,9.439,66,2017,02568
T84,T85,Martin Laird,83,.139,9.984,72,2017,02568
T84,T85,Keegan Bradley,104,.139,12.683,91,2017,02568
86,87,Harris English,84,.138,9.929,72,2017,02568
87,88,Vaughn Taylor,90,.135,10.289,76,2017,02568
88,89,Ryan Armour,63,.121,5.924,49,2017,02568
89,90,Sean O'Hair,84,.118,8.285,70,2017,02568
90,91,Camilo Villegas,76,.107,6.616,62,2017,02568
T91,T92,Chris Kirk,89,.101,7.092,70,2017,02568
T91,T92,Mark Hubbard,81,.101,6.163,61,2017,02568
93,94,Roberto Castro,70,.099,5.355,54,2017,02568
94,96,Cameron Tringale,89,.089,5.789,65,2017,02568
95,97,Tyrone Van Aswegen,105,.084,6.726,80,2017,02568
96,98,Jason Kokrak,95,.077,6.368,83,2017,02568
97,95,Brooks Koepka,88,.058,3.911,67,2017,02568
98,99,David Lingmerth,79,.054,3.755,69,2017,02568
T99,T100,J.T. Poston,95,.053,3.876,73,2017,02568
T99,T100,Nick Taylor,97,.053,4.429,83,2017,02568
101,102,J.J. Henry,92,.050,3.768,75,2017,02568
