RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
102,103,Martin Flores,88,.047,3.145,67,2017,02568
103,104,Seung-Yul Noh,91,.044,3.302,75,2017,02568
104,105,J.B. Holmes,83,.039,2.353,61,2017,02568
105,106,Billy Horschel,88,.020,1.577,80,2017,02568
T106,T107,James Hahn,96,.016,1.303,81,2017,02568
T106,T107,David Hearn,93,.016,1.137,71,2017,02568
108,T109,Xander Schauffele,96,.011,.850,74,2017,02568
109,T109,Retief Goosen,52,.009,.355,41,2017,02568
110,113,Jason Day,71,-.004,-.236,55,2017,02568
111,111,Brian Gay,82,-.006,-.415,69,2017,02568
112,112,Zach Johnson,81,-.007,-.457,68,2017,02568
113,114,Troy Merritt,82,-.018,-1.279,70,2017,02568
T114,T115,John Huh,92,-.020,-1.493,76,2017,02568
T114,T115,Bryson DeChambeau,91,-.020,-1.476,73,2017,02568
116,117,Ben Crane,86,-.024,-1.634,69,2017,02568
T117,T118,Ryan Blaum,100,-.032,-2.584,82,2017,02568
T117,T118,Grayson Murray,94,-.032,-2.728,85,2017,02568
119,121,Graeme McDowell,56,-.036,-1.788,50,2017,02568
120,T118,Patrick Reed,107,-.049,-4.154,84,2017,02568
121,122,Smylie Kaufman,76,-.059,-3.726,63,2017,02568
122,123,Ryan Brehm,83,-.060,-3.925,65,2017,02568
123,124,Daniel Summerhays,100,-.062,-5.085,82,2017,02568
124,125,Robert Streb,98,-.072,-6.011,84,2017,02568
125,126,Sebastián Muñoz,51,-.077,-3.009,39,2017,02568
126,127,Luke Donald,50,-.078,-3.357,43,2017,02568
127,128,Johnson Wagner,71,-.088,-5.016,57,2017,02568
128,129,Andres Gonzales,73,-.089,-5.092,57,2017,02568
129,130,Søren Kjeldsen,58,-.090,-3.052,34,2017,02568
130,131,C.T. Pan,88,-.092,-6.972,76,2017,02568
131,133,Brett Stegmaier,78,-.117,-6.779,58,2017,02568
132,134,Shawn Stefani,72,-.119,-7.132,60,2017,02568
133,135,J.J. Spaun,92,-.122,-8.757,72,2017,02568
T134,T136,Blayne Barber,77,-.123,-8.266,67,2017,02568
T134,T136,Richy Werenski,81,-.123,-7.512,61,2017,02568
T136,T138,Sam Saunders,76,-.136,-8.289,61,2017,02568
T136,T138,Derek Fathauer,81,-.136,-8.689,64,2017,02568
T138,T140,Matt Every,76,-.141,-8.629,61,2017,02568
T138,T140,Zac Blair,105,-.141,-11.420,81,2017,02568
140,142,Anirban Lahiri,72,-.143,-8.441,59,2017,02568
141,143,Whee Kim,74,-.148,-9.205,62,2017,02568
142,144,Kevin Tway,96,-.168,-12.425,74,2017,02568
143,145,Rafa Cabrera Bello,63,-.171,-7.849,46,2017,02568
144,146,Bubba Watson,71,-.175,-9.251,53,2017,02568
145,147,William McGirt,89,-.193,-13.871,72,2017,02568
T146,T148,Spencer Levin,89,-.195,-13.089,67,2017,02568
T146,T148,Trey Mullinax,88,-.195,-13.648,70,2017,02568
148,132,Brian Harman,104,-.198,-16.989,86,2017,02568
149,150,Alex Cejka,85,-.200,-12.396,62,2017,02568
150,T151,Steven Alker,69,-.212,-10.816,51,2017,02568
151,153,Jonathan Randolph,68,-.221,-11.250,51,2017,02568
152,154,Scott Brown,95,-.225,-17.571,78,2017,02568
153,155,Rod Pampling,71,-.231,-15.253,66,2017,02568
154,156,Mark Anderson,54,-.241,-10.126,42,2017,02568
155,157,Jason Bohn,75,-.246,-15.280,62,2017,02568
156,158,Chad Collins,66,-.254,-13.700,54,2017,02568
157,159,Ken Duke,77,-.256,-15.383,60,2017,02568
158,160,Julián Etulain,68,-.292,-14.891,51,2017,02568
159,161,Tim Wilkinson,64,-.310,-14.261,46,2017,02568
160,162,Gonzalo Fernandez-Castaño,63,-.312,-13.706,44,2017,02568
161,163,Brett Drewitt,57,-.314,-13.521,43,2017,02568
162,165,Geoff Ogilvy,80,-.327,-21.894,67,2017,02568
163,166,Ryo Ishikawa,56,-.328,-14.094,43,2017,02568
164,167,Kyle Reifers,96,-.337,-24.929,74,2017,02568
165,168,Dominic Bozzelli,69,-.342,-18.829,55,2017,02568
166,169,Tag Ridings,67,-.356,-17.810,50,2017,02568
167,170,Michael Thompson,60,-.373,-16.424,44,2017,02568
168,171,Carl Pettersson,63,-.385,-20.020,52,2017,02568
169,172,Brandon Hagy,85,-.393,-27.121,69,2017,02568
170,173,Mackenzie Hughes,106,-.404,-38.780,96,2017,02568
171,174,Morgan Hoffmann,92,-.419,-34.349,82,2017,02568
172,175,Andrew Loupe,55,-.424,-19.944,47,2017,02568
173,176,Fabián Gómez,61,-.429,-21.889,51,2017,02568
174,177,Bryce Molder,74,-.431,-27.609,64,2017,02568
175,178,Si Woo Kim,80,-.447,-26.814,60,2017,02568
176,179,Matt Jones,64,-.468,-23.890,51,2017,02568
177,180,Ernie Els,52,-.504,-18.638,37,2017,02568
178,181,K.J. Choi,72,-.511,-27.593,54,2017,02568
T179,T182,Greg Chalmers,75,-.529,-35.969,68,2017,02568
T179,T182,Patrick Rodgers,76,-.529,-34.910,66,2017,02568
181,184,Peter Malnati,91,-.563,-41.099,73,2017,02568
T182,T185,Nicholas Lindheim,58,-.578,-25.427,44,2017,02568
T182,T185,Rick Lamb,54,-.578,-21.974,38,2017,02568
184,187,Cody Gribble,79,-.586,-41.004,70,2017,02568
185,188,Jonas Blixt,74,-.614,-36.232,59,2017,02568
186,190,Brian Campbell,55,-.750,-30.749,41,2017,02568
187,191,Hunter Mahan,73,-.886,-52.275,59,2017,02568
188,192,Steve Wheatcroft,51,-.953,-38.138,40,2017,02568
189,193,Miguel Angel Carballo,63,-1.035,-44.522,43,2017,02568
190,194,Steven Bowditch,59,-1.260,-56.714,45,2017,02568
