RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,Year,Stat ID
1,1,Jason Day,53,.632,25.287,40,2020,02569
2,3,Rob Oppenheim,65,.536,24.106,45,2020,02569
3,4,Aaron Baddeley,49,.520,19.257,37,2020,02569
4,5,Brandt Snedeker,53,.514,25.685,50,2020,02569
5,6,Hideki Matsuyama,74,.458,27.951,61,2020,02569
6,7,Mackenzie Hughes,70,.454,28.143,62,2020,02569
7,8,Alex Noren,60,.443,19.947,45,2020,02569
8,9,Seamus Power,36,.433,9.102,21,2020,02569
9,10,Adam Scott,38,.424,12.714,30,2020,02569
10,11,Matt Wallace,44,.401,16.034,40,2020,02569
11,12,Charles Howell III,69,.392,19.581,50,2020,02569
12,13,Bud Cauley,65,.380,22.029,58,2020,02569
13,14,Phil Mickelson,51,.379,14.401,38,2020,02569
14,15,Byeong Hun An,75,.373,22.406,60,2020,02569
15,16,Brian Harman,78,.362,25.715,71,2020,02569
16,17,Rory Sabbatini,66,.359,17.955,50,2020,02569
17,18,Rhein Gibson,54,.342,11.628,34,2020,02569
18,21,Justin Thomas,66,.339,19.637,58,2020,02569
19,19,Jordan Spieth,62,.330,15.531,47,2020,02569
20,20,Carlos Ortiz,72,.327,21.261,65,2020,02569
21,T23,Patrick Reed,74,.316,20.533,65,2020,02569
22,22,Sergio Garcia,44,.308,9.847,32,2020,02569
23,T23,Si Woo Kim,78,.305,18.329,60,2020,02569
24,29,Jon Rahm,58,.304,17.329,57,2020,02569
25,25,Brian Stuard,83,.300,19.213,64,2020,02569
26,27,Peter Uihlein,47,.290,9.557,33,2020,02569
27,32,Harris English,76,.279,18.993,68,2020,02569
28,40,Daniel Berger,64,.271,15.184,56,2020,02569
29,30,Dylan Frittelli,82,.267,18.175,68,2020,02569
30,34,Tony Finau,72,.266,15.705,59,2020,02569
31,31,Bill Haas,46,.265,9.023,34,2020,02569
T32,26,Webb Simpson,52,.244,12.435,51,2020,02569
T32,35,Harold Varner III,74,.244,13.914,57,2020,02569
34,36,Arjun Atwal,35,.238,4.756,20,2020,02569
35,37,Chez Reavie,77,.237,13.505,57,2020,02569
36,39,Tim Wilkinson,50,.234,7.489,32,2020,02569
37,38,Xander Schauffele,70,.225,13.755,61,2020,02569
38,41,Russell Henley,67,.224,12.996,58,2020,02569
39,42,Rickie Fowler,44,.222,9.107,41,2020,02569
40,43,Cameron Tringale,63,.195,10.348,53,2020,02569
41,44,Kramer Hickok,51,.193,6.961,36,2020,02569
42,33,Tyrrell Hatton,42,.184,6.242,34,2020,02569
43,T45,Patrick Cantlay,46,.170,7.484,44,2020,02569
44,47,Jason Dufner,62,.167,9.343,56,2020,02569
45,48,Nick Watney,46,.162,5.834,36,2020,02569
46,49,Ryan Armour,60,.160,7.212,45,2020,02569
47,51,Brandon Hagy,50,.149,5.347,36,2020,02569
48,52,Zack Sucher,38,.148,3.559,24,2020,02569
49,T45,Kevin Na,71,.140,8.258,59,2020,02569
50,56,Cameron Davis,62,.131,6.028,46,2020,02569
51,T57,Adam Hadwin,65,.130,7.042,54,2020,02569
T52,T59,Kyoung-Hoon Lee,76,.129,6.966,54,2020,02569
T52,T59,Fabián Gómez,59,.129,5.028,39,2020,02569
54,62,Shane Lowry,44,.122,4.377,36,2020,02569
55,T63,Doug Ghim,44,.120,3.346,28,2020,02569
56,65,Luke List,69,.118,6.971,59,2020,02569
57,66,James Hahn,36,.117,3.149,27,2020,02569
58,75,Scottie Scheffler,82,.115,8.080,70,2020,02569
59,67,Keegan Bradley,68,.112,6.374,57,2020,02569
T60,55,Sebastián Muñoz,84,.110,8.617,78,2020,02569
T60,68,Wyndham Clark,65,.110,5.037,46,2020,02569
62,69,Hank Lebioda,57,.109,4.481,41,2020,02569
63,80,Rory McIlroy,60,.108,5.524,51,2020,02569
T64,T70,Tommy Fleetwood,40,.107,2.997,28,2020,02569
T64,T70,Kevin Tway,52,.107,3.749,35,2020,02569
66,72,Nate Lashley,52,.106,4.774,45,2020,02569
T67,T63,Billy Horschel,79,.095,5.596,59,2020,02569
T67,T73,D.J. Trahan,49,.095,3.123,33,2020,02569
T67,T73,J.T. Poston,78,.095,5.999,63,2020,02569
70,54,Brendon Todd,86,.092,6.873,75,2020,02569
T71,61,Cameron Smith,64,.091,5.025,55,2020,02569
T71,76,Richy Werenski,60,.091,4.475,49,2020,02569
73,77,Matt Jones,76,.089,5.710,64,2020,02569
74,78,Branden Grace,43,.085,2.814,33,2020,02569
