RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
1,1,Ian Poulter,72,67.36,293,435,2017,130
2,3,Zac Blair,105,65.50,412,629,2017,130
3,4,Matt Kuchar,95,65.34,360,551,2017,130
4,2,Webb Simpson,102,65.20,401,615,2017,130
5,7,Chad Campbell,97,64.63,349,540,2017,130
6,8,Gonzalo Fernandez-Castaño,63,64.30,245,381,2017,130
7,6,Paul Casey,94,64.12,311,485,2017,130
8,5,Rickie Fowler,78,63.86,288,451,2017,130
9,9,Bill Haas,92,63.75,313,491,2017,130
10,10,John Huh,92,63.65,345,542,2017,130
11,11,Steve Wheatcroft,51,63.64,210,330,2017,130
12,12,Seamus Power,86,63.43,314,495,2017,130
T13,13,Chez Reavie,98,63.33,354,559,2017,130
T13,14,Jon Rahm,90,63.33,297,469,2017,130
15,26,Brian Harman,104,63.19,412,652,2017,130
16,16,Brandt Snedeker,53,63.18,187,296,2017,130
17,17,Matt Jones,64,63.17,235,372,2017,130
T18,18,Louis Oosthuizen,69,63.14,245,388,2017,130
T18,24,Pat Perez,93,63.14,346,548,2017,130
20,19,Chad Collins,66,63.07,275,436,2017,130
21,15,Adam Hadwin,98,62.82,387,616,2017,130
22,21,Tim Wilkinson,64,62.77,236,376,2017,130
23,20,Dustin Johnson,77,62.76,241,384,2017,130
24,22,Francesco Molinari,75,62.74,266,424,2017,130
25,23,Charles Howell III,86,62.63,305,487,2017,130
26,28,Camilo Villegas,76,62.35,308,494,2017,130
27,29,Brian Gay,82,62.30,319,512,2017,130
28,30,Rory McIlroy,51,62.29,185,297,2017,130
29,31,Whee Kim,74,62.27,302,485,2017,130
30,33,Kevin Kisner,105,62.06,368,593,2017,130
T31,T34,Andres Gonzales,73,61.85,248,401,2017,130
T31,T34,David Hearn,93,61.85,334,540,2017,130
33,36,Nick Taylor,97,61.83,358,579,2017,130
34,40,Jordan Spieth,85,61.76,260,421,2017,130
35,32,Sergio Garcia,65,61.65,209,339,2017,130
36,27,Daniel Berger,91,61.63,318,516,2017,130
37,25,Hideki Matsuyama,83,61.56,261,424,2017,130
38,38,Peter Malnati,91,61.50,353,574,2017,130
T39,39,Branden Grace,70,61.42,234,381,2017,130
T39,37,Marc Leishman,94,61.42,328,534,2017,130
41,54,Patrick Reed,107,61.23,417,681,2017,130
42,41,Mark Anderson,54,61.18,197,322,2017,130
T43,T43,Spencer Levin,89,61.10,322,527,2017,130
T43,T43,Kevin Na,86,61.10,311,509,2017,130
45,45,Alex Cejka,85,61.08,284,465,2017,130
46,46,Martin Laird,83,60.98,311,510,2017,130
47,47,Geoff Ogilvy,80,60.85,272,447,2017,130
48,48,Richy Werenski,81,60.60,263,434,2017,130
49,49,Wesley Bryan,95,60.59,392,647,2017,130
50,50,James Hahn,96,60.58,355,586,2017,130
51,51,C.T. Pan,88,60.55,307,507,2017,130
52,52,Vaughn Taylor,90,60.52,305,504,2017,130
53,53,Jim Furyk,54,60.45,188,311,2017,130
54,56,Justin Thomas,86,60.39,282,467,2017,130
55,55,K.J. Choi,72,60.36,265,439,2017,130
56,57,Cameron Percy,71,60.23,212,352,2017,130
57,58,Retief Goosen,52,60.20,180,299,2017,130
T58,T59,Lucas Glover,93,60.16,293,487,2017,130
T58,T59,Brandon Hagy,85,60.16,296,492,2017,130
60,42,Patrick Cantlay,52,60.15,160,266,2017,130
T61,T61,Tom Hoge,54,60.14,169,281,2017,130
T61,T61,Morgan Hoffmann,92,60.14,347,577,2017,130
63,63,Ricky Barnes,100,60.10,363,604,2017,130
64,64,Jamie Lovemark,98,60.07,352,586,2017,130
65,65,Charl Schwartzel,63,60.05,248,413,2017,130
66,66,Kevin Streelman,90,60.04,317,528,2017,130
T67,T67,Ryan Blaum,100,60.00,360,600,2017,130
T67,T67,Phil Mickelson,85,60.00,321,535,2017,130
69,70,Aaron Baddeley,61,59.90,230,384,2017,130
T70,T71,Luke Donald,50,59.88,197,329,2017,130
T70,T71,Zach Johnson,81,59.88,297,496,2017,130
72,73,Rafa Cabrera Bello,63,59.80,241,403,2017,130
73,74,Steven Alker,69,59.75,236,395,2017,130
74,75,Roberto Castro,70,59.68,265,444,2017,130
75,76,Shawn Stefani,72,59.55,237,398,2017,130
76,77,David Lingmerth,79,59.44,296,498,2017,130
77,78,Harris English,84,59.43,293,493,2017,130
78,80,Tony Finau,106,59.38,345,581,2017,130
79,79,Chris Stroud,67,59.33,213,359,2017,130
80,81,Greg Chalmers,75,59.26,304,513,2017,130
81,82,Brett Drewitt,57,59.23,199,336,2017,130
82,83,Seung-Yul Noh,91,59.18,319,539,2017,130
T83,T84,Bryce Molder,74,59.14,301,509,2017,130
T83,T84,J.J. Spaun,92,59.14,301,509,2017,130
85,86,Scott Brown,95,59.08,345,584,2017,130
86,87,J.T. Poston,95,59.07,319,540,2017,130
T87,T88,Kevin Tway,96,59.03,330,559,2017,130
T87,T88,Keegan Bradley,104,59.03,340,576,2017,130
89,90,Ben Crane,86,59.02,288,488,2017,130
T90,T91,Nick Watney,75,58.99,246,417,2017,130
T90,T91,Brendan Steele,89,58.99,292,495,2017,130
92,93,Justin Rose,66,58.97,217,368,2017,130
93,94,Tyrone Van Aswegen,105,58.94,346,587,2017,130
94,95,Robert Streb,98,58.91,347,589,2017,130
95,96,Cameron Tringale,89,58.83,313,532,2017,130
96,98,Michael Kim,94,58.81,327,556,2017,130
97,T99,Billy Hurley III,80,58.78,308,524,2017,130
98,101,Michael Thompson,60,58.74,215,366,2017,130
99,102,Fabián Gómez,61,58.67,220,375,2017,130
100,103,Ollie Schniederjans,92,58.65,312,532,2017,130
T101,T104,Mackenzie Hughes,106,58.64,387,660,2017,130
T101,T104,Cameron Smith,86,58.64,319,544,2017,130
103,106,Julián Etulain,68,58.62,221,377,2017,130
104,107,Mark Hubbard,81,58.57,270,461,2017,130
105,108,Jonas Blixt,74,58.56,284,485,2017,130
106,109,Ben Martin,86,58.53,278,475,2017,130
107,110,Sam Saunders,76,58.45,256,438,2017,130
108,111,Kyle Reifers,96,58.44,315,539,2017,130
109,112,Adam Scott,58,58.43,201,344,2017,130
110,113,Bud Cauley,92,58.41,302,517,2017,130
111,114,Rory Sabbatini,71,58.38,223,382,2017,130
112,T99,Kyle Stanley,104,58.35,311,533,2017,130
113,115,Ryan Armour,63,58.31,186,319,2017,130
114,128,Gary Woodland,94,58.28,285,489,2017,130
115,117,Troy Merritt,82,58.21,280,481,2017,130
116,119,Graeme McDowell,56,58.09,219,377,2017,130
117,120,Hunter Mahan,73,58.06,263,453,2017,130
118,121,Stewart Cink,93,57.93,303,523,2017,130
119,T124,Jason Dufner,89,57.85,280,484,2017,130
120,122,Ryo Ishikawa,56,57.84,214,370,2017,130
121,116,Jason Day,71,57.77,249,431,2017,130
122,123,Dominic Bozzelli,69,57.75,257,445,2017,130
123,T124,Tag Ridings,67,57.73,209,362,2017,130
124,97,Jhonattan Vegas,95,57.61,318,552,2017,130
125,132,Xander Schauffele,96,57.55,305,530,2017,130
126,127,Russell Knox,75,57.48,242,421,2017,130
127,129,Bryson DeChambeau,91,57.32,317,553,2017,130
128,130,Sean O'Hair,84,57.28,291,508,2017,130
129,131,Jimmy Walker,68,57.25,229,400,2017,130
