RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year,Stat ID
1,1,Rory McIlroy,64,319.7,"39,000",122,2018,101
2,2,Trey Mullinax,75,318.3,"43,929",138,2018,101
3,4,Tom Lovelady,87,315.9,"51,168",162,2018,101
4,3,Tony Finau,105,315.1,"56,721",180,2018,101
5,5,Luke List,98,314.6,"54,746",174,2018,101
6,6,Dustin Johnson,77,314.0,"43,953",140,2018,101
7,9,Gary Woodland,96,313.5,"52,042",166,2018,101
8,7,Brooks Koepka,64,313.4,"36,350",116,2018,101
9,8,Bubba Watson,90,313.1,"49,470",158,2018,101
10,10,Keith Mitchell,99,312.6,"60,646",194,2018,101
11,11,Justin Thomas,91,311.8,"46,153",148,2018,101
12,13,Brendan Steele,74,310.3,"39,103",126,2018,101
13,14,Kevin Tway,110,310.1,"59,535",192,2018,101
14,12,Jason Day,75,310.0,"37,195",120,2018,101
15,15,Jason Kokrak,99,309.5,"61,277",198,2018,101
16,16,Jon Rahm,71,308.9,"38,298",124,2018,101
17,17,Kevin Chappell,77,308.6,"45,670",148,2018,101
18,18,Harold Varner III,91,308.2,"49,935",162,2018,101
T19,T19,Robert Garrigus,80,307.9,"46,803",152,2018,101
T19,T19,Byeong Hun An,86,307.9,"49,257",160,2018,101
21,21,Nick Watney,94,307.5,"55,353",180,2018,101
22,22,Grayson Murray,72,307.3,"39,331",128,2018,101
23,23,Tommy Fleetwood,73,306.9,"38,059",124,2018,101
24,25,J.B. Holmes,77,306.1,"43,466",142,2018,101
25,24,Bryson DeChambeau,93,305.7,"56,854",186,2018,101
26,26,Adam Schenk,86,305.5,"48,881",160,2018,101
27,27,Ryan Palmer,69,305.2,"38,459",126,2018,101
28,28,Xander Schauffele,96,304.9,"49,388",162,2018,101
29,29,Adam Scott,78,304.6,"42,649",140,2018,101
30,30,Matt Jones,70,304.5,"37,757",124,2018,101
31,31,Paul Casey,74,304.3,"35,909",118,2018,101
T32,32,Jhonattan Vegas,92,303.6,"46,756",154,2018,101
T32,T33,Tiger Woods,68,303.6,"41,286",136,2018,101
