RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
1,1,Josh Teater,43,"32' 1""","15,574.583",485,Under,2020,331
2,2,"Ted Potter, Jr.",46,"32' 6""","19,482.667",599,Under,2020,331
3,3,Vaughn Taylor,61,"32' 9""","25,513.833",779,Under,2020,331
T4,T4,Chesson Hadley,62,"32' 10""","27,041.000",823,1 Under,2020,331
T4,T4,Doug Ghim,44,"32' 10""","16,398.417",499,Under,2020,331
T4,T4,Emiliano Grillo,69,"32' 10""","28,140.000",856,Under,2020,331
T7,T7,Doc Redman,82,"32' 11""","41,225.583","1,251",1 Under,2020,331
T7,T7,Jason Dufner,62,"32' 11""","33,052.083","1,004",Under,2020,331
T9,T9,Jim Furyk,39,"33' 0""","21,301.083",645,Under,2020,331
T9,T9,Shane Lowry,44,"33' 0""","21,097.833",639,Under,2020,331
11,11,Webb Simpson,52,"33' 1""","30,100.417",910,1 Under,2020,331
12,12,Chez Reavie,77,"33' 3""","33,779.917","1,017",1 Under,2020,331
T13,T13,Tim Wilkinson,50,"33' 4""","19,045.833",572,Under,2020,331
T13,T13,Russell Henley,67,"33' 4""","34,573.917","1,036",1 Under,2020,331
T15,T16,Pat Perez,59,"33' 5""","23,898.500",715,Under,2020,331
T15,T16,Arjun Atwal,35,"33' 5""","11,794.333",353,Under,2020,331
T15,T16,Seamus Power,36,"33' 5""","12,542.833",375,Under,2020,331
T15,T16,Brendan Steele,68,"33' 5""","33,121.500",992,1 Under,2020,331
T19,T21,Joel Dahmen,79,"33' 6""","37,745.083","1,127",1 Under,2020,331
T19,T13,Joaquin Niemann,76,"33' 6""","38,721.583","1,155",1 Under,2020,331
T19,T21,Michael Gellerman,46,"33' 6""","17,966.750",536,Under,2020,331
T19,T16,Dustin Johnson,49,"33' 6""","27,977.917",835,1 Under,2020,331
23,25,Louis Oosthuizen,48,"33' 7""","23,641.500",704,Under,2020,331
T24,T26,Branden Grace,43,"33' 8""","19,718.750",586,Under,2020,331
T24,T26,Kyle Stanley,57,"33' 8""","25,737.250",764,Under,2020,331
T24,T26,Russell Knox,67,"33' 8""","29,255.333",870,Under,2020,331
T24,T26,Ben Martin,38,"33' 8""","13,242.250",393,Under,2020,331
28,T31,Viktor Hovland,74,"33' 9""","34,727.917","1,030",1 Under,2020,331
T29,T21,Tyrrell Hatton,42,"33' 10""","20,524.417",606,1 Under,2020,331
T29,T31,Collin Morikawa,80,"33' 10""","42,739.583","1,262",1 Under,2020,331
T31,T33,Lucas Glover,67,"34' 0""","30,127.667",886,Under,2020,331
T31,T33,Henrik Norlander,74,"34' 0""","33,861.417",995,1 Under,2020,331
T33,T42,Sungjae Im,94,"34' 1""","47,992.667","1,409",1 Under,2020,331
T33,35,Will Gordon,36,"34' 1""","13,358.167",392,Under,2020,331
T35,T36,Ben Taylor,44,"34' 3""","17,073.917",499,Under,2020,331
T35,T36,Ryan Armour,60,"34' 3""","27,580.250",805,Under,2020,331
T35,T36,Ryan Moore,48,"34' 3""","20,551.917",600,Under,2020,331
T35,T36,Brian Harman,78,"34' 3""","43,147.583","1,261",1 Under,2020,331
T35,T36,Fabián Gómez,59,"34' 3""","23,598.333",689,Under,2020,331
T35,50,Justin Thomas,66,"34' 3""","35,529.667","1,038",1 Under,2020,331
T41,T42,Jason Kokrak,62,"34' 4""","31,025.333",904,Under,2020,331
T41,T42,Brian Stuard,83,"34' 4""","39,289.250","1,145",1 Under,2020,331
T41,T36,Hideki Matsuyama,74,"34' 4""","37,152.083","1,083",1 Under,2020,331
T41,T42,Cameron Percy,49,"34' 4""","20,171.250",588,Under,2020,331
T41,T42,Tom Hoge,74,"34' 4""","40,373.000","1,176",1 Under,2020,331
T41,T42,Adam Schenk,78,"34' 4""","33,487.750",976,1 Under,2020,331
47,48,Bronson Burgoon,55,"34' 5""","27,591.417",801,1 Under,2020,331
T48,T51,Scott Piercy,66,"34' 8""","30,981.083",893,Under,2020,331
T48,T51,J.J. Spaun,62,"34' 8""","29,399.333",848,Under,2020,331
T48,T51,Sepp Straka,70,"34' 8""","38,232.417","1,104",1 Under,2020,331
T51,T54,Joseph Bramlett,57,"34' 9""","24,158.333",696,Under,2020,331
