RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
T51,T54,D.J. Trahan,49,"34' 9""","20,209.167",582,Under,2020,331
T51,T54,Charley Hoffman,63,"34' 9""","29,608.000",852,1 Under,2020,331
T51,T54,Mark Anderson,51,"34' 9""","22,922.000",660,Under,2020,331
T51,T54,Adam Hadwin,65,"34' 9""","33,569.083",965,1 Under,2020,331
T56,T60,Stewart Cink,51,"34' 10""","27,826.667",799,Under,2020,331
T56,49,Ryan Palmer,68,"34' 10""","36,477.667","1,048",1 Under,2020,331
T56,T60,Harold Varner III,74,"34' 10""","35,259.000","1,012",1 Under,2020,331
T56,T71,Scottie Scheffler,82,"34' 10""","43,452.833","1,248",1 Under,2020,331
60,T62,Austin Cook,64,"34' 11""","29,847.417",855,Under,2020,331
T61,T64,Chase Seiffert,56,"35' 0""","22,594.917",645,Under,2020,331
T61,T64,Zac Blair,70,"35' 0""","31,148.667",890,Over,2020,331
T61,T64,Michael Gligic,52,"35' 0""","21,274.083",608,Under,2020,331
T64,T67,Scott Stallings,71,"35' 1""","33,208.167",946,1 Under,2020,331
T64,T67,Matthew NeSmith,72,"35' 1""","33,850.417",965,Under,2020,331
T64,T67,Tyler Duncan,83,"35' 1""","43,804.083","1,250",Under,2020,331
T67,T71,Brian Gay,67,"35' 2""","31,283.333",889,Under,2020,331
T67,T71,Rob Oppenheim,65,"35' 2""","28,079.083",798,Under,2020,331
T67,T71,Kevin Streelman,73,"35' 2""","35,343.083","1,006",1 Under,2020,331
T67,T71,Jhonattan Vegas,52,"35' 2""","23,116.000",657,Under,2020,331
71,T76,Martin Laird,39,"35' 3""","18,338.000",520,Under,2020,331
T72,T67,Tony Finau,72,"35' 4""","37,071.000","1,050",1 Under,2020,331
T72,79,Ryan Brehm,52,"35' 4""","20,152.583",571,Under,2020,331
T74,T80,James Hahn,36,"35' 5""","17,040.833",481,Under,2020,331
T74,T80,Chris Baker,53,"35' 5""","20,929.667",591,Under,2020,331
T74,T80,Paul Casey,56,"35' 5""","27,785.750",785,Under,2020,331
T74,T76,Daniel Berger,64,"35' 5""","35,409.083","1,000",1 Under,2020,331
T74,T80,Tyler McCumber,57,"35' 5""","23,954.417",677,Over,2020,331
T79,T84,Robert Streb,54,"35' 6""","20,213.833",570,Over,2020,331
T79,T84,Sam Ryder,74,"35' 6""","35,247.833",993,1 Under,2020,331
T79,T84,Zach Johnson,61,"35' 6""","34,192.417",964,1 Under,2020,331
T82,T87,Kevin Kisner,73,"35' 7""","35,663.083","1,003",1 Under,2020,331
T82,T87,Si Woo Kim,78,"35' 7""","37,751.667","1,060",1 Under,2020,331
T82,T87,Corey Conners,74,"35' 7""","39,334.500","1,105",1 Under,2020,331
T82,T87,Andrew Landry,63,"35' 7""","35,483.083",997,Under,2020,331
T82,T87,Gary Woodland,62,"35' 7""","33,476.000",940,1 Under,2020,331
T87,T92,Brendon Todd,86,"35' 8""","47,558.250","1,333",1 Under,2020,331
T87,T92,Kevin Chappell,41,"35' 8""","20,260.667",568,Under,2020,331
T87,T99,Sebastián Muñoz,84,"35' 8""","49,639.417","1,391",1 Under,2020,331
T87,T92,Matt Every,47,"35' 8""","25,726.917",721,Over,2020,331
T87,T92,Chris Stroud,48,"35' 8""","22,794.583",639,Under,2020,331
T87,T76,Kevin Na,71,"35' 8""","37,450.500","1,049",1 Under,2020,331
T87,T92,Sergio Garcia,44,"35' 8""","20,353.083",571,Under,2020,331
T87,T92,Phil Mickelson,51,"35' 8""","23,908.333",670,Under,2020,331
T87,T92,Justin Rose,38,"35' 8""","20,842.083",584,Under,2020,331
T96,T99,Nick Watney,46,"35' 9""","22,939.250",641,Under,2020,331
T96,T99,Byeong Hun An,75,"35' 9""","38,194.583","1,068",Under,2020,331
T98,T103,Bud Cauley,65,"35' 10""","37,049.000","1,034",1 Under,2020,331
T98,T103,Harry Higgs,83,"35' 10""","43,873.583","1,223",Under,2020,331
T98,T103,Keegan Bradley,68,"35' 10""","36,492.000","1,019",Under,2020,331
T98,T103,Peter Malnati,61,"35' 10""","29,798.667",832,Under,2020,331
T98,T103,Mark Hubbard,86,"35' 10""","46,635.583","1,302",1 Under,2020,331
103,T108,Brooks Koepka,40,"35' 11""","24,224.083",674,Under,2020,331
T104,T110,Patrick Cantlay,46,"36' 0""","28,317.917",786,1 Under,2020,331
T104,T99,Abraham Ancer,74,"36' 0""","35,910.667",998,1 Under,2020,331
T104,T110,Troy Merritt,72,"36' 0""","35,219.167",979,Under,2020,331
T107,113,Adam Long,88,"36' 1""","45,790.500","1,270",1 Under,2020,331
T107,T110,Billy Horschel,79,"36' 1""","37,771.667","1,046",1 Under,2020,331
T109,T114,Luke List,69,"36' 2""","38,041.917","1,053",1 Under,2020,331
T109,T114,Bo Van Pelt,45,"36' 2""","19,681.750",544,Over,2020,331
T109,T114,Cameron Davis,62,"36' 2""","29,666.500",820,1 Under,2020,331
T109,T114,Roger Sloan,55,"36' 2""","24,458.583",676,Under,2020,331
T113,T119,Wes Roach,42,"36' 3""","14,088.250",389,Over,2020,331
T113,T145,Cameron Smith,64,"36' 3""","35,561.917",980,Under,2020,331
T113,T119,Matthew Fitzpatrick,54,"36' 3""","28,396.333",784,Under,2020,331
T113,T119,Kramer Hickok,51,"36' 3""","23,334.667",644,Under,2020,331
T113,T119,Matt Kuchar,56,"36' 3""","31,542.333",870,1 Under,2020,331
T118,T123,Bubba Watson,66,"36' 4""","36,946.250","1,018",1 Under,2020,331
T118,T123,Rafa Cabrera Bello,53,"36' 4""","25,042.583",690,Under,2020,331
T118,T123,Grayson Murray,36,"36' 4""","19,950.083",549,Under,2020,331
T118,T123,Kristoffer Ventura,48,"36' 4""","18,126.667",499,Under,2020,331
T118,T123,Richy Werenski,60,"36' 4""","31,884.167",878,1 Under,2020,331
T118,T123,Rickie Fowler,44,"36' 4""","26,331.750",724,1 Under,2020,331
T124,T129,Cameron Tringale,63,"36' 5""","34,564.667",950,1 Under,2020,331
T124,T129,Sam Burns,60,"36' 5""","35,472.167",973,1 Under,2020,331
T124,T129,David Hearn,55,"36' 5""","23,466.583",644,Under,2020,331
T127,T132,Patton Kizzire,55,"36' 6""","30,220.750",828,Under,2020,331
T127,T132,Anirban Lahiri,35,"36' 6""","14,886.583",408,Under,2020,331
T129,T134,Michael Thompson,62,"36' 7""","36,578.417",999,Under,2020,331
T129,T114,Marc Leishman,61,"36' 7""","33,965.000",929,Over,2020,331
T129,T134,Jimmy Walker,46,"36' 7""","26,630.000",728,Over,2020,331
T132,T136,Danny Lee,69,"36' 8""","35,971.333",980,Under,2020,331
T132,T136,Maverick McNealy,80,"36' 8""","37,783.250","1,030",1 Under,2020,331
T132,T136,Jordan Spieth,62,"36' 8""","30,700.583",837,Under,2020,331
T135,T139,Jim Herman,60,"36' 9""","33,969.000",925,Over,2020,331
T135,T139,Kyoung-Hoon Lee,76,"36' 9""","35,223.917",959,Under,2020,331
T135,T139,Dominic Bozzelli,38,"36' 9""","15,754.667",429,Over,2020,331
T135,T157,Jon Rahm,58,"36' 9""","37,308.833","1,016",1 Under,2020,331
T135,T139,Brice Garnett,58,"36' 9""","29,683.167",808,Under,2020,331
T135,T139,Nick Taylor,59,"36' 9""","32,742.500",891,Under,2020,331
T135,T139,Ian Poulter,48,"36' 9""","24,817.417",675,Under,2020,331
T142,T154,Rory McIlroy,60,"36' 10""","33,445.167",907,1 Under,2020,331
T142,T145,Talor Gooch,83,"36' 10""","48,941.917","1,329",1 Under,2020,331
T142,T145,Robby Shelton,75,"36' 10""","37,295.667","1,013",Under,2020,331
T145,T148,Nelson Ledesma,42,"36' 11""","15,682.500",425,Over,2020,331
T145,T148,Nate Lashley,52,"36' 11""","29,490.083",799,Under,2020,331
T145,T148,Scott Brown,64,"36' 11""","32,878.083",891,Under,2020,331
T145,T148,Rory Sabbatini,66,"36' 11""","32,764.583",887,Under,2020,331
T145,T148,Carlos Ortiz,72,"36' 11""","42,844.500","1,160",1 Under,2020,331
T150,T154,Bill Haas,46,"37' 0""","22,501.583",608,Under,2020,331
T150,T154,Matthew Wolff,74,"37' 0""","41,199.917","1,113",1 Under,2020,331
T152,T172,Harris English,76,"37' 1""","45,070.000","1,216",1 Under,2020,331
T152,T162,Patrick Reed,74,"37' 1""","42,949.750","1,159",1 Under,2020,331
T152,T157,Max Homa,70,"37' 1""","37,791.750","1,020",Under,2020,331
T152,T157,Brandon Hagy,50,"37' 1""","23,456.750",632,Under,2020,331
T152,T157,Xinjun Zhang,77,"37' 1""","39,151.500","1,055",Under,2020,331
T157,T162,Sebastian Cappelen,55,"37' 2""","23,020.667",619,Over,2020,331
T157,T157,Bryson DeChambeau,62,"37' 2""","41,139.667","1,106",1 Under,2020,331
T159,T165,Vincent Whaley,40,"37' 3""","18,594.750",499,Even,2020,331
T159,T165,C.T. Pan,56,"37' 3""","28,484.917",765,Over,2020,331
T159,T165,Scott Harrington,68,"37' 3""","35,640.583",957,Under,2020,331
T159,T165,Bo Hoag,71,"37' 3""","32,682.083",878,Under,2020,331
T163,T169,Zack Sucher,38,"37' 4""","15,940.000",427,Under,2020,331
T163,T169,Matt Jones,76,"37' 4""","42,294.583","1,132",Under,2020,331
T163,T162,Mackenzie Hughes,70,"37' 4""","41,176.750","1,104",1 Under,2020,331
T163,T169,Hank Lebioda,57,"37' 4""","27,401.167",734,Under,2020,331
T167,T172,Aaron Wise,49,"37' 5""","22,543.750",603,Under,2020,331
T167,T172,Peter Uihlein,47,"37' 5""","22,124.583",591,Under,2020,331
169,T185,Cameron Champ,70,"37' 6""","40,928.417","1,091",1 Under,2020,331
170,T176,Graeme McDowell,48,"37' 7""","24,732.500",658,Over,2020,331
171,T182,Xander Schauffele,70,"37' 8""","40,997.083","1,088",1 Under,2020,331
T172,178,Lanto Griffin,96,"37' 9""","53,899.667","1,429",1 Under,2020,331
T172,T179,Dylan Frittelli,82,"37' 9""","45,625.417","1,208",Under,2020,331
T172,T179,Rhein Gibson,54,"37' 9""","22,984.167",609,Under,2020,331
175,181,Jason Day,53,"37' 10""","26,909.083",712,Under,2020,331
T176,T182,Sung Kang,73,"37' 11""","41,843.167","1,104",Over,2020,331
T176,T182,J.T. Poston,78,"37' 11""","42,547.333","1,121",1 Under,2020,331
T178,T185,Denny McCarthy,81,"38' 1""","43,980.417","1,154",1 Under,2020,331
T178,T185,Matt Wallace,44,"38' 1""","26,913.333",706,Under,2020,331
T178,T185,Brandt Snedeker,53,"38' 1""","33,791.583",888,1 Under,2020,331
T181,T189,Alex Noren,60,"38' 5""","31,101.917",809,Under,2020,331
T181,T189,Adam Scott,38,"38' 5""","20,615.917",537,Under,2020,331
183,191,Beau Hossler,71,"38' 7""","33,643.917",872,Under,2020,331
184,192,Kevin Tway,52,"38' 8""","24,152.500",625,Over,2020,331
185,193,Aaron Baddeley,49,"39' 1""","25,937.833",664,Under,2020,331
186,194,Keith Mitchell,64,"39' 2""","34,537.833",881,Under,2020,331
T187,T195,Charles Howell III,69,"39' 3""","34,966.000",891,Under,2020,331
T187,T195,Danny Willett,40,"39' 3""","22,132.500",564,Under,2020,331
189,197,Andrew Putnam,46,"39' 4""","22,332.083",568,Over,2020,331
190,198,Patrick Rodgers,95,"39' 10""","53,278.667","1,338",1 Under,2020,331
191,199,Tommy Fleetwood,40,"40' 0""","19,825.917",496,Under,2020,331
192,200,Wyndham Clark,65,"41' 1""","33,615.083",818,Under,2020,331
193,201,Martin Trainer,48,"45' 3""","30,959.750",684,1 Over,2020,331
