RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
1,1,Henrik Stenson,60,.960,42.239,44,2018,02568
2,2,Keegan Bradley,98,.888,71.055,80,2018,02568
3,3,Tiger Woods,68,.883,52.110,59,2018,02568
4,4,Justin Thomas,91,.844,57.413,68,2018,02568
5,5,Dustin Johnson,77,.829,51.411,62,2018,02568
6,13,Hideki Matsuyama,75,.727,41.422,57,2018,02568
7,7,Stewart Cink,87,.698,46.796,67,2018,02568
8,9,Adam Scott,78,.639,38.324,60,2018,02568
9,10,Chesson Hadley,103,.606,53.932,89,2018,02568
10,6,Francesco Molinari,73,.593,33.825,57,2018,02568
11,12,Paul Casey,74,.586,28.729,49,2018,02568
12,11,Bryson DeChambeau,93,.556,43.375,78,2018,02568
13,8,Phil Mickelson,90,.555,38.816,70,2018,02568
14,14,Scott Piercy,84,.553,37.586,68,2018,02568
15,15,Daniel Berger,81,.543,33.635,62,2018,02568
16,16,Ryan Moore,78,.532,35.095,66,2018,02568
17,25,Justin Rose,70,.526,27.861,53,2018,02568
18,T17,Chris Kirk,108,.518,49.695,96,2018,02568
19,22,Patrick Cantlay,87,.509,34.121,67,2018,02568
20,19,Tony Finau,105,.500,40.540,81,2018,02568
21,20,Rickie Fowler,74,.494,30.130,61,2018,02568
22,23,Rafa Cabrera Bello,75,.487,23.381,48,2018,02568
23,21,Webb Simpson,95,.486,39.357,81,2018,02568
24,T17,Gary Woodland,96,.484,33.882,70,2018,02568
25,24,Tyler Duncan,97,.476,38.546,81,2018,02568
26,26,Russell Henley,77,.467,27.063,58,2018,02568
27,27,Zach Johnson,94,.463,33.316,72,2018,02568
28,29,Byeong Hun An,86,.448,32.713,73,2018,02568
29,30,Chez Reavie,93,.437,26.242,60,2018,02568
30,31,Ian Poulter,73,.435,21.770,50,2018,02568
31,33,Kevin Streelman,94,.415,34.036,82,2018,02568
32,34,J.J. Spaun,85,.410,29.138,71,2018,02568
33,35,Jordan Spieth,81,.409,26.983,66,2018,02568
34,28,Tommy Fleetwood,73,.405,21.887,54,2018,02568
35,36,Sam Ryder,82,.399,27.957,70,2018,02568
36,38,Retief Goosen,60,.389,15.573,40,2018,02568
T37,47,Patton Kizzire,92,.381,29.741,78,2018,02568
T37,39,Joel Dahmen,93,.381,27.083,71,2018,02568
39,40,Andrew Putnam,97,.380,29.241,77,2018,02568
40,41,David Hearn,66,.379,18.931,50,2018,02568
41,42,Scott Stallings,96,.373,29.855,80,2018,02568
42,43,Bronson Burgoon,69,.371,21.162,57,2018,02568
43,44,Mackenzie Hughes,80,.353,24.002,68,2018,02568
44,50,Billy Horschel,86,.352,27.078,77,2018,02568
45,45,Cameron Tringale,67,.348,17.732,51,2018,02568
46,46,Emiliano Grillo,94,.345,25.179,73,2018,02568
47,48,J.J. Henry,81,.340,21.445,63,2018,02568
48,51,Robert Garrigus,80,.331,22.499,68,2018,02568
49,52,Vaughn Taylor,83,.305,21.361,70,2018,02568
50,53,Jimmy Walker,81,.304,20.096,66,2018,02568
51,57,Kyle Stanley,93,.298,19.936,67,2018,02568
52,55,Tom Hoge,101,.297,24.617,83,2018,02568
53,56,Kevin Chappell,77,.296,18.378,62,2018,02568
54,58,Corey Conners,97,.275,21.734,79,2018,02568
55,37,Kevin Na,91,.273,19.119,70,2018,02568
56,62,Rory McIlroy,64,.269,13.699,51,2018,02568
57,59,C.T. Pan,104,.267,21.897,82,2018,02568
58,60,Russell Knox,94,.263,19.462,74,2018,02568
59,61,Jason Kokrak,99,.257,22.629,88,2018,02568
60,63,Shane Lowry,64,.245,12.489,51,2018,02568
61,64,Brendan Steele,74,.243,13.103,54,2018,02568
62,65,John Huh,94,.240,19.685,82,2018,02568
63,T66,Ryan Palmer,69,.236,14.144,60,2018,02568
64,T66,Xander Schauffele,96,.235,16.938,72,2018,02568
65,32,Brooks Koepka,64,.232,12.527,54,2018,02568
66,68,Wesley Bryan,69,.222,11.305,51,2018,02568
67,69,Shawn Stefani,76,.220,13.227,60,2018,02568
T68,T70,Matt Kuchar,88,.216,14.072,65,2018,02568
T68,T70,Charley Hoffman,87,.216,14.694,68,2018,02568
70,72,Ryan Armour,109,.213,20.406,96,2018,02568
71,54,Marc Leishman,93,.211,15.436,73,2018,02568
72,73,Tyrrell Hatton,58,.202,8.503,42,2018,02568
73,74,Luke List,98,.194,15.147,78,2018,02568
74,49,Patrick Reed,94,.187,11.759,63,2018,02568
75,75,Jim Furyk,50,.179,8.247,46,2018,02568
76,76,Branden Grace,67,.174,7.675,44,2018,02568
